ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Sedimentibacter	-1.609	12.773	2.27E-05	0.000147691	Depleted	0.026	0.078
Janthinobacterium	1.226	16.543	2.29E-05	0.000148382	Enriched	0.186	0.08
Albidovulum	-1.339	14.551	2.50E-05	0.000161476	Depleted	0.076	0.192
Taibaiella	6.429	14.054	2.67E-05	0.000171535	Enriched	0.029	0
Paracoccus	3.09	12.551	2.73E-05	0.000174659	Enriched	0.026	0.003
Beijerinckia	-2.04	13.214	2.75E-05	0.000175327	Depleted	0.015	0.06
Lactococcus	17.303	12.873	2.87E-05	0.00018117	Enriched	0.016	0
Paralcaligenes	20.141	14.694	2.87E-05	0.00018117	Enriched	0.116	0
Niastella	3.785	16.251	3.36E-05	0.000211268	Enriched	0.205	0.015
Rhodomicrobium	-1.136	10.551	3.74E-05	0.000233976	Depleted	0.007	0.015
Streptococcus	2.909	13.551	3.84E-05	0.000238834	Enriched	0.061	0.008
Azoarcus	-1.431	12.425	3.85E-05	0.000238834	Depleted	0.022	0.059
Dongia	-0.309	14.824	3.98E-05	0.000244564	Depleted	0.105	0.13
Streptomyces	-0.364	18.165	3.98E-05	0.000244564	Depleted	2.78	3.577
Methylobacterium	2.826	15.551	4.06E-05	0.00024874	Enriched	0.216	0.03
Ornatilinea	-1.473	14.323	4.18E-05	0.000254733	Depleted	0.094	0.26
Pseudoalteromonas	-15.722	9.967	4.28E-05	0.000259632	Depleted	0	0.005
Williamsia	3.424	13.214	4.68E-05	0.000283106	Enriched	0.033	0.003
Gp21	-1.037	11.55	4.75E-05	0.000285717	Depleted	0.012	0.025
Marisediminicola	19.677	14.666	4.79E-05	0.000287477	Enriched	0.084	0
Bauldia	-1.711	12.425	5.15E-05	0.000307511	Depleted	0.012	0.039
Actinocatenispora	-3.259	10.551	5.26E-05	0.000312466	Depleted	0.001	0.008
Inquilinus	-1.213	12.424	5.29E-05	0.000312966	Depleted	0.016	0.037
Atopobium	-2.023	12.966	5.34E-05	0.000315018	Depleted	0.011	0.047
Larsenimonas	-4.131	13.489	5.45E-05	0.000320165	Depleted	0.001	0.021
Geodermatophilus	-0.219	15.213	5.63E-05	0.000329441	Depleted	0.089	0.103
Garciella	-1.042	13.873	5.71E-05	0.000332748	Depleted	0.037	0.076
Fervidicella	-2.966	10.551	5.89E-05	0.000341886	Depleted	0.001	0.011
