ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Desulfobaculum	3.275	13.551	0.001603232	0.006183278	Enriched	0.062	0.006
Pleomorphomonas	0.726	14.095	0.0016308	0.006272647	Enriched	0.021	0.012
Parachlamydia	2.738	13.873	0.00164195	0.006298555	Enriched	0.045	0.007
Salinibacter	-0.023	13.772	0.001652921	0.006311399	Depleted	0.064	0.066
Haliangium	2.932	15.032	0.001654144	0.006311399	Enriched	0.159	0.021
Spongiivirga	0.698	16.666	0.001797159	0.006838789	Enriched	0.231	0.142
Aerococcus	-2.096	12.136	0.001820903	0.006910714	Depleted	0.003	0.012
Gilvimarinus	2.175	16.031	0.001863323	0.007052448	Enriched	0.154	0.034
Aurantimonas	17.458	14.214	0.001868133	0.007052448	Enriched	0.018	0
Pseudooctadecabacter	1.156	14.693	0.00190206	0.007161582	Enriched	0.093	0.042
Gp26	-3.906	12.287	0.001957319	0.007339381	Depleted	0.001	0.012
Rubricoccus	4.22	13.358	0.001959568	0.007339381	Enriched	0.021	0.001
Janthinobacterium	-2.991	10.551	0.001975905	0.007381195	Depleted	0.001	0.005
Thiolapillus	-1.121	15.074	0.002038863	0.007596495	Depleted	0.05	0.109
Thiothrix	3.83	18.366	0.002105804	0.007825474	Enriched	0.178	0.012
Oceanibacterium	-2.224	13.773	0.002156494	0.007993028	Depleted	0.018	0.083
Diplorickettsia	-2.506	9.966	0.002162094	0.007993028	Depleted	0.001	0.004
Nocardia	4.431	11.773	0.002171873	0.008008432	Enriched	0.008	0
Flexithrix	5.466	14.175	0.00228521	0.008404626	Enriched	0.033	0.001
Acetobacterium	-1.299	11.774	0.002342626	0.008593642	Depleted	0.002	0.005
Gordonia	18.579	15.425	0.002430732	0.008893986	Enriched	0.039	0
Glaciecola	5.388	17.075	0.002455923	0.008963177	Enriched	0.127	0.003
Sulfuricurvum	-13.887	8.967	0.002501863	0.009107546	Depleted	0	0.002
Aestuariibacter	1.988	16.279	0.002606017	0.009462561	Enriched	0.347	0.087
Hellea	0.701	15.505	0.002652079	0.009605372	Enriched	0.099	0.061
Grimontia	5.793	14.054	0.002805803	0.010136408	Enriched	0.021	0
Prevotella	-1.481	13.824	0.002835609	0.010218216	Depleted	0.009	0.027
Pleionea	4.965	12.425	0.002921449	0.010501027	Enriched	0.012	0
Thiomicrospira	2.589	15.943	0.002979833	0.010683976	Enriched	0.064	0.011
Aquisalimonas	4.172	11.287	0.003011311	0.010769776	Enriched	0.007	0
Cystobacter	2.779	12.667	0.003040803	0.010848066	Enriched	0.013	0.002
Boseongicola	2.884	14.358	0.003147991	0.011202453	Enriched	0.154	0.021
Citreicella	-0.044	16.417	0.003285078	0.011661211	Depleted	0.449	0.463
Treponema	3.4	12.136	0.003376499	0.011955992	Enriched	0.008	0.001
Salinimonas	1.218	14.175	0.00338871	0.011969528	Enriched	0.07	0.03
Pseudomaricurvus	3.066	15.233	0.003643408	0.012837392	Enriched	0.12	0.014
Pelagimonas	4.025	11.966	0.003782858	0.013295908	Enriched	0.012	0.001
Rhodanobacter	4.191	11.967	0.003794829	0.013305213	Enriched	0.014	0.001
Psychrobium	4.648	13.136	0.003899549	0.013638865	Enriched	0.019	0.001
Thiorhodococcus	4.501	14.488	0.003948368	0.013775846	Enriched	0.017	0.001
Hwanghaeicola	0.003	12.666	0.004304278	0.014980989	Enriched	0.007	0.007
Desulfobacula	-0.95	12.135	0.004337639	0.015060367	Depleted	0.003	0.006
Acidovorax	-0.584	12.551	0.004355235	0.015084759	Depleted	0.008	0.012
Luteibaculum	6.566	16.653	0.004421911	0.015278614	Enriched	0.108	0.001
Agrococcus	-2.421	13.358	0.004538144	0.015642346	Depleted	0.002	0.012
Nonlabens	3.441	15.425	0.004551345	0.015650045	Enriched	0.049	0.005
Eudoraea	2.135	14.92	0.00468665	0.016043284	Enriched	0.105	0.024
Georgfuchsia	-4.183	9.966	0.004699246	0.016043284	Depleted	0	0.003
Weissella	-7.925	14.52	0.004699434	0.016043284	Depleted	0	0.041
Sutterella	-3.768	9.964	0.004759593	0.016209878	Depleted	0	0.002
Hymenobacter	5.364	14.798	0.00477404	0.01622037	Enriched	0.031	0.001
Cytophaga	-4.354	11.288	0.004790696	0.016238299	Depleted	0	0.003
Phaeovibrio	-4.059	12.287	0.00482183	0.016305098	Depleted	0	0.008
Desulfatirhabdium	-3.768	9.966	0.004852992	0.016371677	Depleted	0	0.002
Flavihumibacter	-0.13	13.213	0.004992676	0.016719955	Depleted	0.004	0.005
Actinomadura	-0.789	12.136	0.004992873	0.016719955	Depleted	0.004	0.007
Psychrosphaera	3.875	15.652	0.00500059	0.016719955	Enriched	0.067	0.005
Thiohalobacter	2.621	14.99	0.005010216	0.016719955	Enriched	0.105	0.017
Gp18	5.19	14.391	0.005014815	0.016719955	Enriched	0.014	0
Desulfuromonas	-0.907	13.136	0.005038605	0.016760116	Depleted	0.017	0.032
Parvularcula	1.559	16.242	0.005150471	0.017092376	Enriched	0.337	0.114
Corallomonas	2.816	15.458	0.00520983	0.017249251	Enriched	0.029	0.004
Pseudarcicella	-1.935	12.425	0.005524071	0.018247336	Depleted	0.004	0.014
Denitratisoma	3.161	11.772	0.005606489	0.018476813	Enriched	0.01	0.001
Vogesella	-2.992	9.966	0.005712868	0.018709968	Depleted	0	0.003
Xylella	-3.506	10.55	0.005713166	0.018709968	Depleted	0	0.004
Veillonella	-4.708	12.426	0.00571657	0.018709968	Depleted	0.001	0.017
Magnetospira	2.903	13.61	0.006139369	0.02004778	Enriched	0.065	0.009
Leminorella	2.845	10.965	0.006428169	0.020942916	Enriched	0.008	0.001
Roseococcus	18.145	14.965	0.006959019	0.022620776	Enriched	0.029	0
Ochrobactrum	4.347	15.566	0.007147204	0.023179684	Enriched	0.031	0.002
Bacillus	3.572	19.117	0.007696362	0.024904101	Enriched	0.338	0.028
Acinetobacter	0.213	19.03	0.007805026	0.0251674	Enriched	0.587	0.506
Psychrobacter	4.518	18.876	0.007813005	0.0251674	Enriched	0.746	0.033
Kordia	-1.495	16.667	0.007845723	0.025215871	Depleted	0.199	0.561
Bdellovibrio	1.652	13.358	0.007997454	0.025645768	Enriched	0.025	0.008
Thiohalophilus	0.407	16.27	0.008081774	0.025808341	Enriched	0.145	0.109
Croceicoccus	5.208	14.551	0.008084323	0.025808341	Enriched	0.028	0.001
Victivallis	4.487	11.772	0.008287605	0.026398242	Enriched	0.008	0
Marivita	0.717	15.01	0.008375399	0.026618472	Enriched	0.217	0.132
Rhodopila	-13.472	8.966	0.008940467	0.028226155	Depleted	0	0.001
Methylogaea	-13.472	8.966	0.008940467	0.028226155	Depleted	0	0.001
Formivibrio	-13.888	9.966	0.00894059	0.028226155	Depleted	0	0.002
Fodinicola	3.241	14.61	0.009118351	0.028723812	Enriched	0.014	0.002
Maritalea	0.102	12.772	0.010040039	0.031557568	Enriched	0.01	0.009
Bilophila	3.831	13.053	0.01007548	0.031599364	Enriched	0.016	0.001
Piscirickettsia	-4.067	13.053	0.010431918	0.032645498	Depleted	0.001	0.022
Brevibacterium	7.111	15.566	0.010581978	0.033042633	Enriched	0.052	0
Celeribacter	7.859	18.277	0.010671455	0.033249272	Enriched	0.616	0.003
Aureitalea	5.063	13.721	0.010722298	0.033334899	Enriched	0.013	0
Muriicola	5.583	15.156	0.010971417	0.034035243	Enriched	0.018	0
Namhaeicola	1.379	16.458	0.011760314	0.036403401	Enriched	0.055	0.021
Thalassolituus	2.845	12.873	0.012301849	0.03799727	Enriched	0.024	0.003
Bacteroides	-0.467	15.094	0.012529973	0.038618298	Depleted	0.032	0.045
Chitinophaga	3.339	13.721	0.012968402	0.039883427	Enriched	0.027	0.003
Sabulilitoribacter	4.46	13.551	0.013633933	0.041840048	Enriched	0.033	0.002
Saccharicrinis	0.183	14.323	0.013922134	0.042632802	Enriched	0.013	0.012
Draconibacterium	-0.113	14.694	0.013979538	0.042716919	Depleted	0.058	0.063
Microbacterium	2.641	13.824	0.014034866	0.042794347	Enriched	0.028	0.005
Armatimonadetes_gp7	1.268	12.136	0.01434236	0.043638694	Enriched	0.017	0.007
Gp15	3.173	11.773	0.014709871	0.044661671	Enriched	0.007	0.001
Kangiella	2.778	14.747	0.014852195	0.044998051	Enriched	0.107	0.016
