ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Pelagicoccus	-5.275	14.358	3.34E-17	1.99E-15	Depleted	0.005	0.21
Parasegetibacter	-2.349	16.27	5.62E-17	3.21E-15	Depleted	0.132	0.671
Exiguobacterium	6.066	18.151	2.07E-16	1.14E-14	Enriched	1.663	0.025
Actinomadura	-3.897	13.054	4.63E-16	2.45E-14	Depleted	0.007	0.099
Sutterella	-7.876	18.402	5.04E-16	2.57E-14	Depleted	0.008	1.762
Phaeocystidibacter	-6.024	14.943	5.29E-16	2.60E-14	Depleted	0.005	0.352
Blastomonas	3.797	14.773	4.62E-15	2.20E-13	Enriched	0.496	0.036
Erythrobacter	6.113	17.505	6.23E-14	2.87E-12	Enriched	1.573	0.023
Halomonas	7.456	16.942	6.46E-14	2.88E-12	Enriched	0.491	0.003
Armatimonas/Armatimonadetes_gp1	-3.14	15.233	1.60E-13	6.93E-12	Depleted	0.03	0.264
Simkania	-5.927	14.01	1.87E-12	7.84E-11	Depleted	0.002	0.101
Actinoplanes	-3.899	13.214	2.71E-12	1.11E-10	Depleted	0.004	0.056
Acinetobacter	1.967	18.016	5.88E-12	2.33E-10	Enriched	2.694	0.689
Opitutus	-0.955	13.824	9.80E-12	3.78E-10	Depleted	0.112	0.216
Peredibacter	-2.12	14.01	1.25E-11	4.71E-10	Depleted	0.032	0.14
Parcubacteria_genera_incertae_sedis	-4.276	15.341	1.30E-11	4.77E-10	Depleted	0.014	0.274
Aquabacterium	3.213	19.561	1.44E-11	5.15E-10	Enriched	6.698	0.722
Methylovorus	-3.928	13.721	1.55E-11	5.41E-10	Depleted	0.009	0.133
Bacillus	5.806	18.096	1.90E-11	6.45E-10	Enriched	1.663	0.03
Pseudoclavibacter	-4.029	12.667	2.15E-11	7.13E-10	Depleted	0.005	0.075
Propionivibrio	-1.521	16.349	2.38E-11	7.72E-10	Depleted	0.265	0.759
Erythromicrobium	2.127	16.315	2.99E-11	9.48E-10	Enriched	0.704	0.161
Trueperella	-18.057	11.551	3.84E-11	1.19E-09	Depleted	0	0.027
Flavobacterium	-1.785	18.969	5.46E-11	1.66E-09	Depleted	3.431	11.822
Hymenobacter	6.862	15.44	6.56E-11	1.95E-09	Enriched	0.122	0.001
Devosia	3.219	14.848	7.97E-11	2.32E-09	Enriched	0.244	0.026
Aquimonas	4.148	17.214	9.76E-11	2.79E-09	Enriched	0.465	0.026
Legionella	-2.869	12.426	1.23E-10	3.45E-09	Depleted	0.007	0.052
Polaromonas	-1.539	14.095	1.43E-10	3.92E-09	Depleted	0.057	0.165
Taibaiella	-2.563	13.213	1.57E-10	4.22E-09	Depleted	0.019	0.113
Pseudomonas	2.88	19.303	1.81E-10	4.79E-09	Enriched	8.549	1.162
Subdivision3_genera_incertae_sedis	-0.197	15.116	2.22E-10	5.76E-09	Depleted	0.181	0.207
Jeotgalibacillus	9.014	15.92	2.26E-10	5.77E-09	Enriched	0.181	0
Yersinia	3.79	14.288	2.85E-10	7.14E-09	Enriched	0.111	0.008
Phenylobacterium	3.885	16.288	8.52E-10	2.10E-08	Enriched	0.233	0.016
Deinococcus	5.807	17.323	8.74E-10	2.11E-08	Enriched	0.313	0.006
Lysobacter	4.364	15.824	9.59E-10	2.28E-08	Enriched	0.31	0.015
Pontibacter	6.692	17.297	1.05E-09	2.45E-08	Enriched	0.362	0.003
Paracoccus	2.494	18.558	1.49E-09	3.42E-08	Enriched	1.396	0.248
Burkholderia	-0.939	15.624	1.55E-09	3.52E-08	Depleted	0.241	0.463
Psychrobacter	5.667	15.012	1.69E-09	3.77E-08	Enriched	0.142	0.003
Hydrotalea	-1.434	15.921	1.86E-09	4.07E-08	Depleted	0.084	0.226
Pseudohongiella	-2.665	13.214	2.33E-09	5.04E-08	Depleted	0.018	0.114
Viridibacillus	-3.266	15.175	2.66E-09	5.66E-08	Depleted	0.012	0.112
Crocinitomix	-1.863	13.135	3.22E-09	6.69E-08	Depleted	0.027	0.1
Azospira	5.567	16.358	3.23E-09	6.69E-08	Enriched	0.381	0.008
Caldicoprobacter	-2.736	14.011	6.19E-09	1.26E-07	Depleted	0.02	0.136
Desulfonema	-1.5	11.288	6.97E-09	1.40E-07	Depleted	0.019	0.054
Adhaeribacter	7.027	14.666	9.60E-09	1.90E-07	Enriched	0.091	0.001
Congregibacter	-2.366	12.136	1.21E-08	2.36E-07	Depleted	0.009	0.045
Massilia	3.32	16.799	1.25E-08	2.42E-07	Enriched	0.552	0.055
Mycobacterium	-2.72	17.297	1.43E-08	2.73E-07	Depleted	0.169	1.115
Limisphaera	-6.19	12.287	1.64E-08	3.08E-07	Depleted	0	0.03
Luteimonas	2.742	13.426	2.04E-08	3.78E-07	Enriched	0.133	0.02
Stenotrophomonas	4.181	14.01	3.07E-08	5.62E-07	Enriched	0.057	0.003
Kitasatospora	-6.051	13.358	3.24E-08	5.86E-07	Depleted	0.001	0.055
Sphingomonas	1.659	17.504	4.10E-08	7.31E-07	Enriched	1.085	0.344
Propionispira	9.979	18.821	4.52E-08	7.97E-07	Enriched	1.765	0.002
Litorivivens	22.206	18.284	4.74E-08	8.25E-07	Enriched	0.484	0
Methylophilus	-0.782	15.536	4.87E-08	8.37E-07	Depleted	0.172	0.295
Lechevalieria	-2.521	12.966	5.73E-08	9.73E-07	Depleted	0.015	0.088
Azoarcus	-2.508	16.074	7.32E-08	1.23E-06	Depleted	0.093	0.531
Tetrasphaera	-2.829	14.666	8.31E-08	1.38E-06	Depleted	0.012	0.089
Acholeplasma	-6.276	14.458	8.71E-08	1.43E-06	Depleted	0.001	0.097
Methylomonas	-1.774	13.288	1.71E-07	2.75E-06	Depleted	0.023	0.078
